,timestamp
0,2020-07-24 14:44:59.134363
1,2020-07-24 14:44:59.603489
2,2020-07-24 14:44:59.631605
3,2020-07-24 14:44:59.662677
4,2020-07-24 14:44:59.694057
5,2020-07-24 14:44:59.725883
6,2020-07-24 14:44:59.759047
7,2020-07-24 14:44:59.791539
8,2020-07-24 14:44:59.824928
9,2020-07-24 14:44:59.857501
10,2020-07-24 14:44:59.888204
11,2020-07-24 14:44:59.919737
12,2020-07-24 14:44:59.949505
13,2020-07-24 14:44:59.982224
14,2020-07-24 14:45:00.013902
15,2020-07-24 14:45:00.063351
16,2020-07-24 14:45:00.096067
17,2020-07-24 14:45:00.129243
18,2020-07-24 14:45:00.161450
19,2020-07-24 14:45:00.190497
20,2020-07-24 14:45:00.222649
21,2020-07-24 14:45:00.256084
22,2020-07-24 14:45:00.288139
23,2020-07-24 14:45:00.320796
24,2020-07-24 14:45:00.351998
25,2020-07-24 14:45:00.384028
26,2020-07-24 14:45:00.416848
27,2020-07-24 14:45:00.448903
28,2020-07-24 14:45:00.480059
29,2020-07-24 14:45:00.529330
30,2020-07-24 14:45:00.558362
31,2020-07-24 14:45:00.592179
32,2020-07-24 14:45:00.624749
33,2020-07-24 14:45:00.654986
34,2020-07-24 14:45:00.687220
35,2020-07-24 14:45:00.721017
36,2020-07-24 14:45:00.753055
37,2020-07-24 14:45:00.781929
38,2020-07-24 14:45:00.815221
39,2020-07-24 14:45:00.847101
40,2020-07-24 14:45:00.880959
41,2020-07-24 14:45:00.913178
42,2020-07-24 14:45:00.945589
43,2020-07-24 14:45:00.991009
44,2020-07-24 14:45:01.022688
45,2020-07-24 14:45:01.056798
46,2020-07-24 14:45:01.088489
47,2020-07-24 14:45:01.121550
48,2020-07-24 14:45:01.153681
49,2020-07-24 14:45:01.185599
50,2020-07-24 14:45:01.217543
51,2020-07-24 14:45:01.247140
52,2020-07-24 14:45:01.278875
53,2020-07-24 14:45:01.311070
54,2020-07-24 14:45:01.343294
55,2020-07-24 14:45:01.375915
56,2020-07-24 14:45:01.408191
57,2020-07-24 14:45:01.458551
58,2020-07-24 14:45:01.487066
59,2020-07-24 14:45:01.518666
60,2020-07-24 14:45:01.552798
61,2020-07-24 14:45:01.585601
62,2020-07-24 14:45:01.617524
63,2020-07-24 14:45:01.647180
64,2020-07-24 14:45:01.679194
65,2020-07-24 14:45:01.711835
66,2020-07-24 14:45:01.743303
67,2020-07-24 14:45:01.774545
68,2020-07-24 14:45:01.807667
69,2020-07-24 14:45:01.840225
70,2020-07-24 14:45:01.872040
71,2020-07-24 14:45:01.920819
72,2020-07-24 14:45:01.952996
73,2020-07-24 14:45:01.985153
74,2020-07-24 14:45:02.017355
75,2020-07-24 14:45:02.047648
76,2020-07-24 14:45:02.080076
77,2020-07-24 14:45:02.111544
78,2020-07-24 14:45:02.143588
79,2020-07-24 14:45:02.175984
80,2020-07-24 14:45:02.208051
81,2020-07-24 14:45:02.240215
82,2020-07-24 14:45:02.271944
83,2020-07-24 14:45:02.304938
84,2020-07-24 14:45:02.334509
85,2020-07-24 14:45:02.383269
86,2020-07-24 14:45:02.418394
87,2020-07-24 14:45:02.451084
88,2020-07-24 14:45:02.480391
89,2020-07-24 14:45:02.511544
90,2020-07-24 14:45:02.544217
91,2020-07-24 14:45:02.575476
92,2020-07-24 14:45:02.607947
93,2020-07-24 14:45:02.641138
94,2020-07-24 14:45:02.673277
95,2020-07-24 14:45:02.705052
96,2020-07-24 14:45:02.734537
