,timestamp
0,2020-07-24 15:00:56.835519
1,2020-07-24 15:00:57.312670
2,2020-07-24 15:00:57.418674
3,2020-07-24 15:00:57.446176
4,2020-07-24 15:00:57.473109
5,2020-07-24 15:00:57.504513
6,2020-07-24 15:00:57.534004
7,2020-07-24 15:00:57.565503
8,2020-07-24 15:00:57.596426
9,2020-07-24 15:00:57.628214
10,2020-07-24 15:00:57.660129
11,2020-07-24 15:00:57.695266
12,2020-07-24 15:00:57.725418
13,2020-07-24 15:00:57.774776
14,2020-07-24 15:00:57.804534
15,2020-07-24 15:00:57.836844
16,2020-07-24 15:00:57.868608
17,2020-07-24 15:00:57.900593
18,2020-07-24 15:00:57.932819
19,2020-07-24 15:00:57.964586
20,2020-07-24 15:00:57.996273
21,2020-07-24 15:00:58.028245
22,2020-07-24 15:00:58.060427
23,2020-07-24 15:00:58.093700
24,2020-07-24 15:00:58.125050
25,2020-07-24 15:00:58.156400
26,2020-07-24 15:00:58.188139
27,2020-07-24 15:00:58.237166
28,2020-07-24 15:00:58.268534
29,2020-07-24 15:00:58.300607
30,2020-07-24 15:00:58.333397
31,2020-07-24 15:00:58.365186
32,2020-07-24 15:00:58.395945
33,2020-07-24 15:00:58.428299
34,2020-07-24 15:00:58.460335
35,2020-07-24 15:00:58.492433
36,2020-07-24 15:00:58.524152
37,2020-07-24 15:00:58.555853
38,2020-07-24 15:00:58.588764
39,2020-07-24 15:00:58.620093
40,2020-07-24 15:00:58.653137
41,2020-07-24 15:00:58.700406
42,2020-07-24 15:00:58.733894
43,2020-07-24 15:00:58.765238
44,2020-07-24 15:00:58.796506
45,2020-07-24 15:00:58.828537
46,2020-07-24 15:00:58.860711
47,2020-07-24 15:00:58.892787
48,2020-07-24 15:00:58.924700
49,2020-07-24 15:00:58.956729
50,2020-07-24 15:00:58.989068
51,2020-07-24 15:00:59.021490
52,2020-07-24 15:00:59.054666
53,2020-07-24 15:00:59.085711
54,2020-07-24 15:00:59.118374
55,2020-07-24 15:00:59.166865
56,2020-07-24 15:00:59.197356
57,2020-07-24 15:00:59.229115
